text,cleaned_text,polarity,subjectivity,sentiment,compound,positive,neutral,negative,text_length,word_count
"This one is hilarious 😂 

#Musk #ElonMusk #hilarious #humour https://t.co/SJkg8hsqLB",this one is hilarious musk elonmusk hilarious humour,0.5,1.0,positive,0.8176,0.63,0.37,0.0,52,8
"@elonmusk Join us on our mission to mars 🪐 

@elonmusk already liked our first post 🔥

#CyberDoge #CyberTruck #ElonMusk #DogeCoin

https://t.co/NtxAzJ0vE6 https://t.co/MhGXe9nQzl",join us on our mission to mars already liked our first post cyberdoge cybertruck elonmusk dogecoin,0.425,0.5666666666666667,positive,0.6124,0.263,0.737,0.0,98,16
"Elon Musk and Vivek Ramaswamy name which agencies could face cuts or be 'deleted' by the Department of Government Efficiency (DOGE). 💸🔪 #GovernmentEfficiency #DOGE #ElonMusk #VivekRamaswamy #TrimTheFat

Details here: https://t.co/XyeUpcr1Yp

@elonmusk @VivekGRamaswamy",elon musk and vivek ramaswamy name which agencies could face cuts or be deleted by the department of government efficiency doge governmentefficiency doge elonmusk vivekramaswamy trimthefat details here,0.0,0.0,positive,0.0772,0.081,0.847,0.072,201,28
"#BreakingNews:
Elon Musk Confirms X Email Service Launch 🚀 XMail

Elon Musk has announced that X is set to launch its own email service soon, expanding its platform offerings and potentially shaking up the tech world. Will this redefine how we communicate online?

#ElonMusk… https://t.co/uvpdY24Osw https://t.co/g2bWUYQaDQ",breakingnews elon musk confirms x email service launch xmail elon musk has announced that x is set to launch its own email service soon expanding its platform offerings and potentially shaking up the tech world will this redefine how we communicate online elonmusk,0.3,1.0,negative,-0.1779,0.0,0.959,0.041,264,43
"U.S. Government Spending Cuts Led by Two Billionaire Entrepreneurs!

#ElonMusk #VivekRamaswamy #USGovernmentEfficiency

https://t.co/agjUnJnWdB",u s government spending cuts led by two billionaire entrepreneurs elonmusk vivekramaswamy usgovernmentefficiency,0.0,0.0,negative,-0.296,0.0,0.82,0.18,112,13
"@elonmusk Join us on our mission to mars 🪐 
🔥

#CyberDoge #CyberTruck #ElonMusk #DogeCoin

https://t.co/NtxAzJ0vE6 https://t.co/AIZYbjSDVh",join us on our mission to mars cyberdoge cybertruck elonmusk dogecoin,0.0,0.0,positive,0.296,0.18,0.82,0.0,69,11
"@elonmusk Can it explains who SOLZILLA is ??
#Solzilla 
#Solana 
#ElonMusk",can it explains who solzilla is solzilla solana elonmusk,0.0,0.0,neutral,0.0,0.0,1.0,0.0,56,9
"@moneyl0rd Join us on our mission to mars 🪐 

@elonmusk already liked our first post 🔥

#CyberDoge #CyberTruck #ElonMusk #DogeCoin

https://t.co/NtxAzJ0vE6 https://t.co/5yIm3X08gW",join us on our mission to mars already liked our first post cyberdoge cybertruck elonmusk dogecoin,0.425,0.5666666666666667,positive,0.6124,0.263,0.737,0.0,98,16
"Please visit https://t.co/nJJHTxpcH4 and read the story behind this alternative presale. With the proceeds from this presale, an innovative platform will be launched, with a focus on a collaboration with #ElonMusk

Join:https://t.co/8aZIDZcfSR

#bitcoin #cryptocurrency
#invest",please visit and read the story behind this alternative presale with the proceeds from this presale an innovative platform will be launched with a focus on a collaboration with elonmusk join bitcoin cryptocurrency invest,0.04999999999999999,0.85,positive,0.7845,0.241,0.759,0.0,220,34
"HELP!!!

I need someone to transfer me 20$ worth of Solana in return I will return some of the profit I make through memecoin investments i promise!!!!

#memecoin #ElonMusk @elonmusk https://t.co/W6kiAmbwiB",help i need someone to transfer me 20 worth of solana in return i will return some of the profit i make through memecoin investments i promise memecoin elonmusk,0.3,0.1,positive,0.8316,0.318,0.682,0.0,160,29
"@moneyl0rd Join us on our mission to mars, and help us get launched on PumpFun 🪐 

@elonmusk already liked our first post 🔥

#CyberDoge #CyberTruck #ElonMusk #DogeCoin

https://t.co/NtxAzJ0vE6 https://t.co/rhCDkZXOAF",join us on our mission to mars and help us get launched on pumpfun already liked our first post cyberdoge cybertruck elonmusk dogecoin,0.425,0.5666666666666667,positive,0.802,0.326,0.674,0.0,134,23
#ElonMusk brings the electricity!  @elonmusk https://t.co/jjTkztSvuc,elonmusk brings the electricity,0.0,0.0,neutral,0.0,0.0,1.0,0.0,31,4
BEST BIBLE STUDY ON EARTH. https://t.co/fKvoMbEwze #TuckerCarlson #SeanHannity #MarkLevin #LauraIngraham #LeoTerrell #College #DonaldTrump #RonDeSantis #Speaker #Diddy #TulsiGabbard #NBA #MLB #DanBongino #ElonMusk #KatiePavlich #Golf #NFL #JimJordan #Africa https://t.co/FrWM0pziLY,best bible study on earth tuckercarlson seanhannity marklevin lauraingraham leoterrell college donaldtrump rondesantis speaker diddy tulsigabbard nba mlb danbongino elonmusk katiepavlich golf nfl jimjordan africa,1.0,0.3,positive,0.6369,0.149,0.851,0.0,212,25
"@Pentosh1 Join us on our mission to mars, and help us get launched on PumpFun 🪐 

#CyberDoge #CyberTruck #ElonMusk #DogeCoin

https://t.co/NtxAzJ0vE6 https://t.co/2rHlgjuHQe",join us on our mission to mars and help us get launched on pumpfun cyberdoge cybertruck elonmusk dogecoin,0.0,0.0,positive,0.6597,0.299,0.701,0.0,105,18
"@zoe_aiz 🚀 Dive into the future of AI &amp; blockchain with @metamindonsol! Create, deploy, and monetize AI personas seamlessly on Solana. 🌐💡
The decentralized revolution starts here. Is this the next big thing, @elonmusk?

#AI #Blockchain #CryptoInnovation #Web3 #ElonMusk https://t.co/Rmif6vRR2j",dive into the future of ai amp blockchain with create deploy and monetize ai personas seamlessly on solana the decentralized revolution starts here is this the next big thing ai blockchain cryptoinnovation web3 elonmusk,0.025,0.08125,positive,0.2732,0.06,0.94,0.0,219,34
"@CryptoWendyO Join us on our mission to mars, and help us get launched on PumpFun 🪐 

#CyberDoge #CyberTruck #ElonMusk #DogeCoin

https://t.co/NtxAzJ0vE6 https://t.co/oKDSyK9AMN",join us on our mission to mars and help us get launched on pumpfun cyberdoge cybertruck elonmusk dogecoin,0.0,0.0,positive,0.6597,0.299,0.701,0.0,105,18
"@TiffanyFong_ Join us on our mission to mars, and help us get launched on PumpFun 🪐 

#CyberDoge #CyberTruck #ElonMusk #DogeCoin

https://t.co/NtxAzJ0vE6 https://t.co/hRLbtcu4io",join us on our mission to mars and help us get launched on pumpfun cyberdoge cybertruck elonmusk dogecoin,0.0,0.0,positive,0.6597,0.299,0.701,0.0,105,18
"@Cobratate @elonmusk @diana_dukic the alt of @elonmusk

Created by @Grok, @Neuralink, @xAI?!

3Cqnd46t4ZSfJ7wK6kpapETRaWNAcW3z5VNgibttpump

https://t.co/KipCQRUWY6

@DianaDukicfan

#AI #DianaDukic #Grok #memecoin #ElonMusk #Neuralink https://t.co/OnedTZJ2qa",the alt of created by 3cqnd46t4zsfj7wk6kpapetrawnacw3z5vngibttpump ai dianadukic grok memecoin elonmusk neuralink,0.0,0.0,positive,0.25,0.154,0.846,0.0,113,12
"@Hannahughes_ Join us on our mission to mars, and help us get launched on PumpFun 🪐 

#CyberDoge #CyberTruck #ElonMusk #DogeCoin

https://t.co/NtxAzJ0vE6 https://t.co/BPvKVq0YEL",join us on our mission to mars and help us get launched on pumpfun cyberdoge cybertruck elonmusk dogecoin,0.0,0.0,positive,0.6597,0.299,0.701,0.0,105,18
"@lynk0x Join us on our mission to mars, and help us get launched on PumpFun 🪐 

#CyberDoge #CyberTruck #ElonMusk #DogeCoin

https://t.co/NtxAzJ0vE6 https://t.co/FjoqxOkxvG",join us on our mission to mars and help us get launched on pumpfun cyberdoge cybertruck elonmusk dogecoin,0.0,0.0,positive,0.6597,0.299,0.701,0.0,105,18
Elon Musk just confirmed X Mail #XMail #ElonMusk https://t.co/Q8q7NZuXwp https://t.co/UUphy7xWHX,elon musk just confirmed x mail xmail elonmusk,0.4,1.0,neutral,0.0,0.0,1.0,0.0,46,8
"Ad etc...
I'm #Austinbrother84 #CalvinONealAustin From #SouthCarolina #USA #BornFebruary5th1984 $familyloveloyalty
💯 423 
8(1-59)
18+&amp;UpOnly
Book etc...
#ElonMusk #LarryEllison #JeffBezos #MarkZuckerberg #BernardArnault
Stand close✌️this motherfucker

🫵Won't want✌️go✌️hell...🤟 https://t.co/8kLc6WLtD4",ad etc i m austinbrother84 calvinonealaustin from southcarolina usa bornfebruary5th1984 familyloveloyalty 423 8 1 59 18 amp uponly book etc elonmusk larryellison jeffbezos markzuckerberg bernardarnault stand close this motherfucker won t want go hell,0.0,0.0,negative,-0.7964,0.125,0.623,0.252,250,34
"#𝕏 to launch new email service...

WILL YOU DROP GMAIL?

#ElonMusk",to launch new email service will you drop gmail elonmusk,0.13636363636363635,0.45454545454545453,negative,-0.2732,0.0,0.811,0.189,56,10
@farzyness Me too. #Grok will beat any other ai platforms. I think #ElonMusk has gathered a crazy number of super computers.,me too grok will beat any other ai platforms i think elonmusk has gathered a crazy number of super computers,-0.13055555555555556,0.6472222222222221,positive,0.4215,0.23,0.664,0.106,108,20
"Vote for $Bitbunny on https://t.co/YM4JcY2oKJ

https://t.co/SZzIrQQFfF

#Bitbunnyfamily #엔하이픈 #Japan #1000Xmemetoken #bitbunnyOsaka #bitbunnytokyo #cryptocurrency #ElonMusk #memecoin #Volt #Twitter婚活 #SolanaMemcoin #sui #BaseChain #Trump2024 #ElonMusk #XRPFamily #XRPHolders… https://t.co/pofnPH6erN https://t.co/lnPQq6KrFo",vote for bitbunny on bitbunnyfamily japan 1000xmemetoken bitbunnyosaka bitbunnytokyo cryptocurrency elonmusk memecoin volt twitter solanamemcoin sui basechain trump2024 elonmusk xrpfamily xrpholders,0.0,0.0,neutral,0.0,0.0,1.0,0.0,198,21
"@elonmusk If He said It or not?
#ElonMusk",if he said it or not elonmusk,0.0,0.0,neutral,0.0,0.0,1.0,0.0,29,7
"Elon, when can we expect X to become available on Tesla’s touchscreen? #ElonMusk #tesla #X",elon when can we expect x to become available on tesla s touchscreen elonmusk tesla x,0.4,0.4,neutral,0.0,0.0,1.0,0.0,85,16
"Imagine having an email as bold as 𝕏 itself—@𝕏.com could be the next big thing.

#XMail #Innovation #TechTrends #ElonMusk #DigitalFuture https://t.co/HbRuv1Swnl",imagine having an email as bold as itself com could be the next big thing xmail innovation techtrends elonmusk digitalfuture,0.1111111111111111,0.25555555555555554,positive,0.6369,0.224,0.776,0.0,124,20
"TALENTED WORK FROM SOME TALENTED PEOPLE‼️
AMD IS FOR THE PEOPLE 
Ca
42qs5BmwyTpnDmCpfSeuUNYjwEhqdSjmboXNmVFYpump
#cryptocurrency #Crypto #memecoin #Trending #AMD #ElonMusk https://t.co/X756wXj6e4",talented work from some talented people amd is for the people ca 42qs5bmwytpndmcpfseuunyjwehqdsjmboxnmvfypump cryptocurrency crypto memecoin trending amd elonmusk,0.7,0.9,positive,0.765,0.28,0.72,0.0,162,19
"Damn Right
#AmericaFirst #ElonMusk https://t.co/2d4pn8NH8f",damn right americafirst elonmusk,0.2857142857142857,0.5357142857142857,negative,-0.4019,0.0,0.526,0.474,32,4
"Join Duckchain 🦆 get 15 $USDT each 🤑🎊

1️⃣ Join 🎊 : https://t.co/SRtmL447nG
2️⃣ Like ♥️ &amp; retweet 🔂
3️⃣ Comment 💬 your $TON adress.

#dogs #Binance  #Bitget  #ByBit  #Tomarket #notpixel #Bitcoin #Solana #Airdrop #HamsterKombat #BTC #TON #duckchain #ElonMusk https://t.co/Qey9wiVUOe",join duckchain get 15 usdt each 1 join 2 like amp retweet 3 comment your ton adress dogs binance bitget bybit tomarket notpixel bitcoin solana airdrop hamsterkombat btc ton duckchain elonmusk,0.0,0.0,positive,0.7096,0.216,0.784,0.0,191,31
"🚀 Elon Musk's Twitter takeover complete! From pushing global free speech to battling spambots, he's making waves. Will these changes shape up Twitter's future? #ElonMusk #FreeSpeech #CryptoCommunity

🤔 With Musk planning Twitter headquarters makeovers, opensource algorithms,… https://t.co/7LBYwp5QYh",elon musk s twitter takeover complete from pushing global free speech to battling spambots he s making waves will these changes shape up twitter s future elonmusk freespeech cryptocommunity with musk planning twitter headquarters makeovers opensource algorithms,0.125,0.33125000000000004,positive,0.296,0.088,0.856,0.056,261,37
"₿𝗥𝗘𝗔𝗞𝗜𝗡𝗚💥

Elon Musk announces that X is set to roll out its own email platform.

@elonmusk 
@X 

#Email #x #ElonMusk",elon musk announces that x is set to roll out its own email platform email x elonmusk,0.6,1.0,neutral,0.0,0.0,1.0,0.0,85,17
"🚀 #ElonMusk has hinted at developing Xmail, a potential new email service, via a casual post on X. Could this be a new rival to Gmail? ✨ 
#Xmail  #TechNews https://t.co/gG8xSN4XRX",elonmusk has hinted at developing xmail a potential new email service via a casual post on x could this be a new rival to gmail xmail technews,-0.05681818181818185,0.693939393939394,positive,0.2023,0.076,0.924,0.0,142,27
"Elon Musk announces X’s next big move: an email service is on the way. 

Could this reshape communication or challenge Gmail’s dominance? 

📨 Stay tuned for more details! 

#TechNews #ElonMusk #X",elon musk announces x s next big move an email service is on the way could this reshape communication or challenge gmail s dominance stay tuned for more details technews elonmusk x,0.16666666666666666,0.19999999999999998,positive,0.2732,0.107,0.893,0.0,180,32
"#XRP’s roots trace back to something much bigger. Before #Ripple, it was #OpenCoin. Before that, OneCoin—originally created by Larry Page, Peter Thiel, and #ElonMusk. The same minds behind #PayPal’s revolution are now tied to the new financial system. Let that sink in. https://t.co/gJPbythRv2",xrp s roots trace back to something much bigger before ripple it was opencoin before that onecoin originally created by larry page peter thiel and elonmusk the same minds behind paypal s revolution are now tied to the new financial system let that sink in,0.015909090909090904,0.3613636363636364,positive,0.25,0.045,0.955,0.0,255,45
#ElonMusk can't even do it because he offers only solutions to the 1% https://t.co/JZlgFY25Eg,elonmusk can t even do it because he offers only solutions to the 1,0.05,0.5,positive,0.1779,0.134,0.866,0.0,67,14
@DOGE #government  #Funding to #Influence  #foreign countries at US Global Media with about $1 billion budget ?  Congrats to #KariLake here's 2019-2023 #data #DataToThePeople #remotework #remotejobs #WFH  #DOGE #VivekRamaswamy #ElonMusk #Elon_Musk #Elon https://t.co/f3C8Xa7WSV,government funding to influence foreign countries at us global media with about 1 billion budget congrats to karilake here s 2019 2023 data datatothepeople remotework remotejobs wfh doge vivekramaswamy elonmusk elon musk elon,-0.0625,0.0625,positive,0.5267,0.102,0.898,0.0,225,33
"What is Elon thinking here?

 (Also side note: Don’t they all look so handsome!)#elonmusk #DonaldTrump #JDVance #wewon #realmen https://t.co/Y6cdle7jbn",what is elon thinking here also side note don t they all look so handsome elonmusk donaldtrump jdvance wewon realmen,0.5,1.0,positive,0.6269,0.186,0.814,0.0,116,20
"Dogelon to the Mars.
Coming soon 👀‼️‼️
#Dogelon #ElonMusk #Doge #meme
#Mars #DogelonMars #ELON #PEPE $ELON https://t.co/f1U0iq3fdK",dogelon to the mars coming soon dogelon elonmusk doge meme mars dogelonmars elon pepe elon,0.0,0.0,neutral,0.0,0.0,1.0,0.0,90,15
"$AIPEPE steady growth 

175k cap 

0x52dbbcd7258283e4c52427dcac1bcffd9cb6751c

https://t.co/tSlvhd14g9

$PEPE #PEPE #AI #ElonMusk https://t.co/bZduSJuV9l",aipepe steady growth 175k cap 0x52dbbcd7258283e4c52427dcac1bcffd9cb6751c pepe pepe ai elonmusk,0.16666666666666666,0.5,positive,0.3818,0.224,0.776,0.0,94,10
"Xmail is coming!!!
#ElonMusk https://t.co/OVdaPeXXSp https://t.co/S0LJwlVTzn",xmail is coming elonmusk,0.0,0.0,neutral,0.0,0.0,1.0,0.0,24,4
"Deport #ElonMusk! Pure scum..
https://t.co/jPQrkYGnaT",deport elonmusk pure scum,-0.04285714285714286,0.45,neutral,0.0,0.0,1.0,0.0,25,4
"Right???? 😂 Love this. It's so very true. Fortunately,many of the people are awakened to the slick games going on behind the scenes. Keep our President Trump and his team SAFE at all costs. #America #PresidentTrump #ElonMusk #JDVance #TulsiGabbard #VivekRamaswamy https://t.co/FL2Ystmnyv",right love this it s so very true fortunately many of the people are awakened to the slick games going on behind the scenes keep our president trump and his team safe at all costs america presidenttrump elonmusk jdvance tulsigabbard vivekramaswamy,0.22724489795918368,0.5793877551020409,positive,0.8878,0.221,0.779,0.0,247,41
@MAstronomers If we follow #ElonMusk's naming style it got to be Metropolis!,if we follow elonmusk s naming style it got to be metropolis,0.0,0.0,neutral,0.0,0.0,1.0,0.0,60,12
SpaceX aims to turn Starbase into a city! 🚀 Could this be the future of innovation hubs? 🌌 #SpaceX #StarbaseTexas #ElonMusk  https://t.co/JjhV0YVWAS https://t.co/2wYlojlO6O,spacex aims to turn starbase into a city could this be the future of innovation hubs spacex starbasetexas elonmusk,0.0,0.125,positive,0.3818,0.133,0.867,0.0,114,19
@OghamTheBold @uapsauce They are called eVTOL aircraft. Speeds up to 150 mph. Named Midnight. Tilt propellers. So cool! #drones #Archer #scifi #ElonMusk,they are called evtol aircraft speeds up to 150 mph named midnight tilt propellers so cool drones archer scifi elonmusk,0.35,0.65,positive,0.4572,0.136,0.864,0.0,119,20
🚨 BREAKING: X (formerly Twitter) is reportedly working on a GAME-CHANGING email service to rival Gmail! 🔥👀 Could Xmail be the next big thing? What features would you want? #X #ElonMusk #Xmail #TechNews #EmailRevolution https://t.co/td7pX7X5KD,breaking x formerly twitter is reportedly working on a game changing email service to rival gmail could xmail be the next big thing what features would you want x elonmusk xmail technews emailrevolution,-0.1,0.125,positive,0.0772,0.043,0.957,0.0,202,33
"#Christmas is waiting for you 🎅🧑‍🎄🌲

@DogeSantaSol  

#SantaDoge 🐕

#ElonMusk flying this up 🚀 

The future of Christmas logistics is here. 🌲

#SantaDoge #ElonMusk #Crypto #Dogecoin #Elon $Doge #Santa #Rizzmas

#christmas 🌲 #XMAS $XMAS #BTC $ETH $ELON #Memes @grok #grok https://t.co/3PYXHKIzaA",christmas is waiting for you santadoge elonmusk flying this up the future of christmas logistics is here santadoge elonmusk crypto dogecoin elon doge santa rizzmas christmas xmas xmas btc eth elon memes grok,0.0,0.125,neutral,0.0,0.0,1.0,0.0,207,33
".
If you want to know why Elon Musk has been trolling the UK since the summer have a listen to this excellent radio documentary on BBC Sounds!

#C4News #ElonMusk 
.
https://t.co/eHnnJ8tl7G",if you want to know why elon musk has been trolling the uk since the summer have a listen to this excellent radio documentary on bbc sounds c4news elonmusk,0.5,0.5,positive,0.6883,0.179,0.821,0.0,155,29
Congrats to #KariLake we've compiled 2019-2023 #data #DataToThePeople on federal #government #remotework #remotejobs #WFH #employees for #DOGE #VivekRamaswamy #ElonMusk #Elon_Musk #Elon to do #DataAnalytics https://t.co/f3C8Xa7p3n,congrats to karilake we ve compiled 2019 2023 data datatothepeople on federal government remotework remotejobs wfh employees for doge vivekramaswamy elonmusk elon musk elon to do dataanalytics,0.0,0.0,positive,0.5267,0.116,0.884,0.0,192,27
"https://t.co/o17U2ENz87       - 
 $TSLA $SPCE $LINK  

#China #Starlink #ElonMusk #Satellites #SpaceTech #LEO #Qianfan #GuoWang #Honghu3 #SpaceRace #Technology #GlobalEconomy  

China's ambitions in the space-tec...",tsla spce link china starlink elonmusk satellites spacetech leo qianfan guowang honghu3 spacerace technology globaleconomy china s ambitions in the space tec,0.0,0.0,neutral,0.0,0.0,1.0,0.0,157,22
"#ElonMusk  drops a cryptic hint about Xmail, an upcoming email service under the X platform. While the details remain a mystery,  the tech is world buzzing with speculation. Could this be the next big challenge to #Gmail?",elonmusk drops a cryptic hint about xmail an upcoming email service under the x platform while the details remain a mystery the tech is world buzzing with speculation could this be the next big challenge to gmail,0.0,0.05,positive,0.0772,0.038,0.962,0.0,212,37
The Evolving Threat of #ISIL in Post-Assad #Syria: A Comprehensive Analysis https://t.co/ZslSn6jqjS via @https://debuglies.com #RussiaUkraineConflict #Elon_Musk #Trump #EuropeNews #ElonMusk #IsraelPalestineWar #donald #IranAttack #IranIsrael @elonmusk,the evolving threat of isil in post assad syria a comprehensive analysis via debuglies com russiaukraineconflict elon musk trump europenews elonmusk israelpalestinewar donald iranattack iranisrael,0.0,0.0,negative,-0.34,0.073,0.803,0.124,196,25
@elonmusk #dronesoverNJ and others from #ELONMUSK! HE WORKS ON PENTAGIN. THIS FAT CLOWN WILL CONTROL EVERYONE,dronesovernj and others from elonmusk he works on pentagin this fat clown will control everyone,0.0,0.0,neutral,0.0,0.0,1.0,0.0,95,15
@TheDemCoalition May Satan deal with that scumbag #ElonMusk..,may satan deal with that scumbag elonmusk,0.0,0.0,negative,-0.6369,0.0,0.588,0.412,41,7
"Love this and i see it happening, thanks to simpsons 😂 

#Airdrop #thread #Crypto #swag $BTC $ETH $SOL $APT $PEPE $HMSTR $PNUT $MOG $MEW $GOAT $AIXBT $MICHI $POPCAT #ElonMusk #simpso https://t.co/tGbIffkXXT",love this and i see it happening thanks to simpsons airdrop thread crypto swag btc eth sol apt pepe hmstr pnut mog mew goat aixbt michi popcat elonmusk simpso,0.4333333333333333,0.6,positive,0.7964,0.215,0.785,0.0,158,29
"🚨BIG ANNOUNCEMENT🚨

@kaspamoonboiz ARE HERE! 

🟩🟩🟩MINT TIME….

Let’s go guys we have this! 

To the moon $KASFAM

#meme #memecoin #Crypto #BTC #ETH #Kaspa #KRC20 #Solana #investing #CryptoNews #YouTube $DOGE $pepe #ElonMusk #AndrewTate https://t.co/NTI2otcOKg",big announcement are here mint time let s go guys we have this to the moon kasfam meme memecoin crypto btc eth kaspa krc20 solana investing cryptonews youtube doge pepe elonmusk andrewtate,0.0,0.1,neutral,0.0,0.0,1.0,0.0,188,32
"The journey isn’t easy, but Mars is worth it! 🔥 $ELON #DogelonMars $ELON #ElonMusk #binance #ByBit #cryptocom #kraken #HODL https://t.co/DzJ5zmMviq",the journey isn t easy but mars is worth it elon dogelonmars elon elonmusk binance bybit cryptocom kraken hodl,0.3666666666666667,0.4666666666666667,positive,0.5106,0.212,0.788,0.0,110,19
"Never Split the Difference: Mastering Negotiation by Chris Voss, Summary ""Podcast"" https://t.co/ZW8YlCJiDZ ~   #ai #art #NFT #RVA #VA #Virginia #RealEstate #ElonMusk #Ideas #Motivation #Entrepreneurship #Metaverse #Crypto #Doge #SHIB",never split the difference mastering negotiation by chris voss summary podcast ai art nft rva va virginia realestate elonmusk ideas motivation entrepreneurship metaverse crypto doge shib,0.0,0.0,positive,0.34,0.088,0.912,0.0,186,26
"🚨 𝕏 MAIL COMING SOON?!

Elon Musk: “Yeah. On the list of things to do.”

As Elon pushes to make 𝕏 the ultimate everything app, could 𝕏 Mail challenge Gmail and Outlook?

Source: 𝕏 #ElonMusk #XMail https://t.co/vX8nHI6bcQ https://t.co/HGtOxtAiPX",mail coming soon elon musk yeah on the list of things to do as elon pushes to make the ultimate everything app could mail challenge gmail and outlook source elonmusk xmail,0.0,1.0,positive,0.3612,0.108,0.892,0.0,171,31
"✨❤️Lazy Sunday❤️✨

Let's Talk! 
https://t.co/Mcz5UFma2d

- What's Exactly The Target Audience? Bait!
- Cooking WIth Kya Is The Tea!
- This Ain't Sitting Right With People! 

#SMALLSTREAMERS #TWITCHSTREAMER #TWITCHAFFILIATE #TWITCH #ELONMUSK #TRUMP #SUNDAYVIBES #SNL #NETFLIX https://t.co/r3RO1neuuu",lazy sunday let s talk what s exactly the target audience bait cooking with kya is the tea this ain t sitting right with people smallstreamers twitchstreamer twitchaffiliate twitch elonmusk trump sundayvibes snl netflix,0.09523809523809523,0.5952380952380952,negative,-0.3612,0.0,0.923,0.077,219,34
"Pay attention…

…And frogs to destroy [them] 🐸🐸🐸

#Xrp #XRPHolders #xrparmy #Ripple #XRPLedger #XRPL #RLUSD #XRPCommunity #Hbar #Hedera #Elonmusk #Trump
@bgarlinghouse #Bitcoin #BTC #QSentMe 🐸 https://t.co/V9RoeCuTdd",pay attention and frogs to destroy them xrp xrpholders xrparmy ripple xrpledger xrpl rlusd xrpcommunity hbar hedera elonmusk trump bitcoin btc qsentme,-0.2,0.0,negative,-0.5994,0.0,0.803,0.197,150,22
